box_id,year,month,sst_mean_monthly
-39_147,1992,6,14.791749660174052
-39_147,1992,7,13.226854555068478
-39_147,1992,8,12.325080371672108
-39_147,1992,9,12.604083061218262
-39_147,1992,10,13.176531937814527
-39_147,1992,11,14.110166358947755
-39_147,1992,12,15.55306415404043
-39_147,1993,1,16.946209292257986
-39_147,1993,2,18.09446382522583
-39_147,1993,3,17.58911254329066
-39_147,1993,4,16.865999603271483
-39_147,1993,5,16.155564138966223
-39_147,1993,6,14.30083299477895
-39_147,1993,7,12.974596492705807
-39_147,1993,8,12.573386876813826
-39_147,1993,9,12.415583038330078
-39_147,1993,10,12.976209425157116
-39_147,1993,11,13.889333041508992
-39_147,1993,12,15.460241617694978
-39_147,1994,1,16.48427383361324
-39_147,1994,2,17.63580318859645
-39_147,1994,3,17.397418960448235
-39_147,1994,4,16.566249640782676
-39_147,1994,5,15.659112607279132
-39_147,1994,6,13.969416387875874
-39_147,1994,7,13.200644854576357
-39_147,1994,8,12.454354555376115
-39_147,1994,9,11.935916368166605
-39_147,1994,10,12.95572554680609
-39_147,1994,11,13.488499728838603
-39_147,1994,12,15.869757644591793
-39_147,1995,1,16.955564137428038
-39_147,1995,2,18.170713833400182
-39_147,1995,3,17.385806099061043
-39_147,1995,4,15.425916290283203
-39_147,1995,5,14.732741578932732
-39_147,1995,6,13.796083045005798
-39_147,1995,7,12.298951310496177
-39_147,1995,8,12.128144871804022
-39_147,1995,9,11.94258309205373
-39_147,1995,10,12.571209423003658
-39_147,1995,11,13.50341637134552
-39_147,1995,12,15.09870937562758
-39_147,1996,1,16.901451241585516
-39_147,1996,2,16.534654757072186
-39_147,1996,3,17.041289929420717
-39_147,1996,4,15.835749634106953
-39_147,1996,5,15.105644833657049
-39_147,1996,6,13.277999703089396
-39_147,1996,7,12.612338396810717
-39_147,1996,8,12.164838483256679
-39_147,1996,9,12.405083092053731
-39_147,1996,10,12.994596465941399
-39_147,1996,11,13.707166393597921
-39_147,1996,12,14.519919026282526
-39_147,1997,1,16.887338238377726
-39_147,1997,2,18.24982099873679
-39_147,1997,3,16.917418864465528
-39_147,1997,4,16.191916338602702
-39_147,1997,5,15.55725767535548
-39_147,1997,6,14.21358301639557
-39_147,1997,7,12.827660998990458
-39_147,1997,8,12.410241634615007
-39_147,1997,9,12.25366640885671
-39_147,1997,10,12.65911264573374
-39_147,1997,11,13.970083006223042
-39_147,1997,12,15.582902892943352
-39_147,1998,1,17.748144795817712
-39_147,1998,2,18.44758893762316
-39_147,1998,3,18.028064081745764
-39_147,1998,4,16.160999655723572
-39_147,1998,5,15.137499663137621
-39_147,1998,6,14.14733297030131
-39_147,1998,7,13.025725518503497
-39_147,1998,8,12.031128721852456
-39_147,1998,9,12.554999732971192
-39_147,1998,10,12.833790025403422
-39_147,1998,11,14.662749648094177
-39_147,1998,12,15.948144828119586
-39_147,1999,1,17.501128704317154
-39_147,1999,2,17.987588933535985
-39_147,1999,3,17.794838351588094
-39_147,1999,4,16.822582944234213
-39_147,1999,5,15.935725488970357
-39_147,1999,6,14.550499669710796
-39_147,1999,7,13.516854547685192
-39_147,1999,8,12.384838450339533
-39_147,1999,9,12.744499723116556
-39_147,1999,10,14.22233840727037
-39_147,1999,11,14.895916350682576
-39_147,1999,12,16.433467349698468
-39_147,2000,1,17.60790284987419
-39_147,2000,2,18.409137479190168
-39_147,2000,3,18.725402816649407
-39_147,2000,4,18.451416285832725
-39_147,2000,5,16.76193513408784
-39_147,2000,6,14.656582951545715
-39_147,2000,7,13.684273904369723
-39_147,2000,8,13.211612624506797
-39_147,2000,9,13.320999654134114
-39_147,2000,10,13.716531984267696
-39_147,2000,11,15.001916321118673
-39_147,2000,12,17.008386719611384
-39_147,2001,1,18.30266088055026
-39_147,2001,2,19.491070985794067
-39_147,2001,3,18.58846732108824
-39_147,2001,4,17.01083297729492
-39_147,2001,5,16.41580613966911
-39_147,2001,6,14.980749694506327
-39_147,2001,7,14.028144897953156
-39_147,2001,8,13.030967435529154
-39_147,2001,9,13.291583061218262
-39_147,2001,10,13.766612560518327
-39_147,2001,11,14.267083001136779
-39_147,2001,12,15.315241590622932
-39_147,2002,1,16.789112575592533
-39_147,2002,2,17.678481783185685
-39_147,2002,3,17.672418917379073
-39_147,2002,4,17.337916310628255
-39_147,2002,5,16.773306123671993
-39_147,2002,6,15.258333015441895
-39_147,2002,7,13.440564209415067
-39_147,2002,8,12.805886806980256
-39_147,2002,9,12.999666357040406
-39_147,2002,10,13.347741603851318
-39_147,2002,11,14.152583074569701
-39_147,2002,12,15.611854476313438
-39_147,2003,1,17.462257677508937
-39_147,2003,2,18.71928528376988
-39_147,2003,3,17.68177378562189
-39_147,2003,4,16.23683291276296
-39_147,2003,5,15.510402825570875
-39_147,2003,6,14.727249654134114
-39_147,2003,7,13.339757719347554
-39_147,2003,8,12.405806203042307
-39_147,2003,9,12.329999725023905
-39_147,2003,10,13.051693247210595
-39_147,2003,11,14.20074965953827
-39_147,2003,12,15.755967393998176
-39_147,2004,1,16.899273903139175
-39_147,2004,2,17.84155138607683
-39_147,2004,3,17.480725411445864
-39_147,2004,4,16.6849995692571
-39_147,2004,5,14.970241615849156
-39_147,2004,6,13.982582998275756
-39_147,2004,7,12.789273900370445
-39_147,2004,8,12.688951353872977
-39_147,2004,9,13.136249693234761
-39_147,2004,10,13.380644867497105
-39_147,2004,11,14.248249705632528
-39_147,2004,12,15.850322308078889
-39_147,2005,1,17.52443504333496
-39_147,2005,2,17.983213867459977
-39_147,2005,3,17.80128994295674
-39_147,2005,4,17.372916253407798
-39_147,2005,5,16.28620934486389
-39_147,2005,6,14.978166325887043
-39_147,2005,7,13.90717710987214
-39_147,2005,8,12.904031945813086
-39_147,2005,9,12.93108298778534
-39_147,2005,10,13.896128700625512
-39_147,2005,11,15.586916319529216
-39_147,2005,12,16.05967706249606
-39_147,2006,1,17.77032220748163
